pid,weight,x_utm,y_utm,lat,lon
156,414.435143232494,549400.5418417385,5273675.340197401,47.6145996,-122.3426342
157,414.435143232494,549459.4273475581,5273744.183026067,47.6152145,-122.34184290000002
158,414.435143232494,549529.0672303725,5273824.354684844,47.6159305,-122.34090720000002
159,414.435143232494,549592.7864827819,5273899.730913113,47.6166038,-122.3400508
160,414.435143232494,549657.4524784049,5273974.0489386795,47.6172675,-122.3391819
161,67.02894950844235,550600.9909135774,5274199.265633216,47.6192208,-122.3266006
162,67.02894950844235,550699.6665002311,5274201.134615108,47.61922990000001,-122.32528730000001
163,108.99883081564843,550769.6609330509,5273507.247424978,47.612981399999995,-122.3244363
164,108.99883081564843,550766.0336989857,5273632.05509381,47.6141046,-122.32447010000001
165,190.46225795960805,550764.1932032175,5273757.956464803,47.6152375,-122.32448000000001
166,100.53125,550759.2751111093,5274037.045999425,47.6177489,-122.3245131
167,93.54311810626854,550045.5527088046,5271971.4100225745,47.599219500000004,-122.33424630000002
168,138.41879173705084,550147.3476444954,5271966.349221675,47.599166100000005,-122.3328928
169,93.54311810626854,550246.620445579,5271972.216308702,47.59921119999999,-122.33157160000002
170,93.54311810626854,550389.1348655343,5271972.834554585,47.599205699999985,-122.32967579999999
171,93.54311810626854,550438.4190768069,5271973.016045339,47.599203499999994,-122.32902020000002
172,146.83909249980587,550539.5504555379,5271973.446943274,47.59919949999999,-122.32767490000002
173,146.83909249980587,550637.8178323285,5271973.854727685,47.5991955,-122.32636770000002
174,89.35456371243312,550835.873403395,5271970.109312188,47.5991463,-122.32373359999998
175,146.83909249980587,550933.1096547458,5271977.559728577,47.599205699999985,-122.3224393
176,89.35456371243312,551324.3218379205,5271981.000430538,47.5992058,-122.31723500000001
177,88.07274729213015,551556.6508710036,5271983.2607564675,47.5992077,-122.3141443
178,184.8392083966153,549412.0114360612,5274971.008333355,47.6262561,-122.34233539999998
179,184.8392083966153,549510.546467162,5274971.066743292,47.6262491,-122.341024
180,73.73053303143445,549900.8615169809,5274919.645830322,47.6257565,-122.33583520000002
181,73.73053303143445,550146.129422057,5274944.869852681,47.6259645,-122.3325681
182,73.73053303143445,550275.4145804069,5274948.084594453,47.62598340000001,-122.33084710000001
183,73.73053303143445,550319.1454373486,5274948.906667364,47.62598740000001,-122.330265
184,104.0276804926654,548684.6845798966,5273530.241116861,47.6133483,-122.35217550000002
185,104.0276804926654,548741.6229499563,5273594.036490338,47.613918,-122.35141080000001
186,104.0276804926654,548806.3276804663,5273669.901180154,47.614595699999995,-122.3505414
187,104.0276804926654,548868.3961918332,5273742.6769045945,47.6152458,-122.3497074
188,276.03060324118366,548931.7528394614,5273818.487294718,47.6159231,-122.3488559
189,276.03060324118366,548996.2091750905,5273892.018052487,47.6165798,-122.34798999999998
190,386.0166166894943,549061.7956656616,5273965.9036208745,47.617239600000005,-122.34710900000002
191,386.0166166894943,549123.0608028995,5274035.163223205,47.617858099999985,-122.34628600000002
192,140.3994728427065,549189.5364467882,5274114.615073777,47.618567899999995,-122.34539250000002
193,222.89257698519293,550211.1445124125,5274757.626138813,47.6242748,-122.33172430000002
194,222.89257698519293,550307.7332301533,5274758.159128543,47.624272100000006,-122.33043880000001
195,222.89257698519293,550399.9690395717,5274758.956163195,47.624272100000006,-122.3292112
196,100.53125,550838.3767293177,5274126.807967098,47.6185503,-122.3234501
197,67.02894950844235,550835.217568767,5274266.713471771,47.6198093,-122.3234759
198,33.118958921703154,550821.9691366822,5274856.929038748,47.62512060000001,-122.3235837
199,33.118958921703154,550822.7226476534,5275049.65222593,47.62685449999999,-122.32355130000002
200,33.118958921703154,550823.07334142,5275161.913101899,47.627864499999994,-122.32353360000002
201,67.02894950844235,550864.9592103903,5274273.786233011,47.619870599999985,-122.3230793
202,90.91666666666669,550862.6594446255,5274636.291884878,47.623132299999995,-122.3230678
203,33.118958921703154,550863.0544027132,5274857.9099434465,47.62512619999999,-122.3230368
204,140.3994728427065,549117.3809809261,5274114.351097316,47.618570999999996,-122.34635270000001
205,140.3994728427065,549119.0714754816,5274243.683342648,47.61973450000001,-122.34631570000002
206,140.3994728427065,549118.9706125493,5274374.234235349,47.6209091,-122.3463024
207,164.6243669448561,550364.7116012311,5273667.7750091,47.6144573,-122.3298059
208,140.3994728427065,549609.2909163008,5274245.6904220395,47.619715199999995,-122.33979200000002
209,140.3994728427065,549609.1831008916,5274374.885437833,47.6208776,-122.33977880000002
210,140.3994728427065,549608.9142535579,5274505.33505788,47.622051299999995,-122.3397676
211,140.3994728427065,549608.6550926374,5274634.639984595,47.6232147,-122.33975639999998
212,73.73053303143445,550637.6175848081,5275700.269563474,47.6327227,-122.32593960000001
213,73.73053303143445,550627.2127534138,5275650.074333294,47.6322719,-122.32608390000001
214,33.118958921703154,551070.400242041,5275657.844010528,47.63230699999999,-122.32018399999998
215,241.63233538745038,551642.9455051745,5273683.205115619,47.61449549999998,-122.31279610000001
216,66.63043478260873,551642.6243772358,5273771.196843145,47.6152872,-122.31279000000002
217,66.63043478260873,551641.050124611,5274030.3095885785,47.61761859999999,-122.3127804
218,66.63043478260873,551641.816780777,5274131.226217662,47.618526499999994,-122.31275830000001
219,140.3994728427065,549414.693784898,5274114.974770874,47.618553999999996,-122.3423963
220,140.3994728427065,549413.1102948769,5274245.9021734735,47.6197321,-122.34240259999999
221,140.3994728427065,549415.7145977052,5274374.797798779,47.6208916,-122.34235340000001
222,140.3994728427065,549413.7866037536,5274505.577844017,47.62206840000001,-122.3423643
223,184.8392083966153,549411.5982663364,5274877.075430828,47.625410999999986,-122.34235150000002
224,67.02894950844235,550590.823202079,5274118.774265043,47.6184974,-122.3267452
225,76.6904761904762,550600.0350979209,5274380.325512755,47.6208499,-122.3265924
226,76.6904761904762,550598.9400604964,5274506.444676419,47.6219847,-122.3265924
227,76.6904761904762,550597.7577075313,5274633.963548974,47.6231321,-122.32659340000001
228,76.6904761904762,550594.9220864831,5274854.0973612,47.62511289999999,-122.32660569999999
229,72.71646346761983,550598.529079213,5275061.727664313,47.62698069999999,-122.32653369999998
230,93.54311810626854,550273.666930553,5272158.207105109,47.6008825,-122.3311905
231,66.63043478260873,551098.3089788328,5273763.421084731,47.61526039999999,-122.32003360000002
232,66.63043478260873,551093.2258502656,5274021.791488324,47.617585399999996,-122.32007109999999
233,33.118958921703154,550690.7885102013,5274856.297647676,47.62512519999999,-122.32532960000002
234,33.118958921703154,550786.8677251837,5274857.3565600235,47.6251272,-122.3240508
235,33.118958921703154,550910.8550334335,5274858.271814508,47.6251257,-122.32240059999998
236,33.118958921703154,550940.696929231,5274858.67711369,47.625127,-122.3220034
237,33.118958921703154,550990.9409646569,5274858.883168984,47.6251249,-122.3213347
238,33.118958921703154,551068.4480655807,5274898.251997055,47.62547300000001,-122.3202986
239,33.118958921703154,551329.0190575556,5274886.770494429,47.625349099999994,-122.31683209999998
240,33.118958921703154,551411.4848458971,5274886.730605826,47.62534219999999,-122.31573460000001
241,33.118958921703154,551494.9563158635,5274880.876694045,47.6252829,-122.3146244
242,33.118958921703154,551570.22281552,5274880.108552191,47.62526999999999,-122.3136228
243,59.206350118539376,551179.284469945,5274641.742697204,47.6231564,-122.3188535
244,33.118958921703154,551153.1460537235,5275049.609458147,47.62682809999999,-122.31915369999999
245,33.118958921703154,551151.0708975936,5275256.023563716,47.628685399999995,-122.31915720000002
246,33.118958921703154,551145.9000255812,5275457.331161587,47.630497,-122.31920250000002
247,33.118958921703154,551148.3932576764,5275741.554754335,47.633054,-122.3191361
248,67.02894950844235,550507.0646215378,5273961.520818778,47.617089099999994,-122.3278779
249,89.35456371243312,550638.9915970318,5271694.055579011,47.59667799999999,-122.3263844
250,89.35456371243312,550837.0317912793,5271694.889124931,47.59667,-122.32375009999998
251,89.35456371243312,550934.3115181307,5271695.304335918,47.59666610000001,-122.32245609999998
252,89.35456371243312,550993.8605342845,5271695.457867822,47.5966628,-122.32166399999998
253,88.07274729213015,551567.3123098526,5271698.2544072885,47.5966426,-122.314036
254,88.07274729213015,551713.2796125716,5271700.313635813,47.596649499999984,-122.3120942
255,507.6801927547495,550387.4283946516,5272342.612661974,47.6025328,-122.32965600000001
256,507.6801927547495,550469.1212241857,5272394.312772269,47.602991599999996,-122.32856330000001
257,675.1680654684775,550554.5892613427,5272444.790834016,47.6034391,-122.32742050000002
258,890.2412885550517,549907.272567306,5272371.160468146,47.602826799999995,-122.33604020000001
259,890.2412885550517,549856.5607219749,5272449.562248988,47.6035361,-122.3367059
260,890.2412885550517,549807.9315763473,5272527.182000237,47.60423819999999,-122.337344
261,890.2412885550517,549758.1288908868,5272605.058881571,47.60494269999999,-122.3379977
262,181.60547746585303,549708.7789291196,5272684.651678667,47.60566260000001,-122.3386452
263,181.60547746585303,549658.0681045154,5272762.677254306,47.606368499999995,-122.339311
264,181.60547746585303,549589.5372609273,5272874.251014519,47.60737759999999,-122.3402101
265,481.6413848528156,549242.1048676133,5273295.915667848,47.6111979,-122.34478500000002
266,481.6413848528156,548946.9679848545,5273548.575834125,47.6134935,-122.34868359999999
267,104.0276804926654,548877.5771283933,5273608.567895707,47.61403850000001,-122.34960019999998
268,104.0276804926654,548737.3200053307,5273729.353473964,47.6151358,-122.35145300000002
269,104.0276804926654,548664.2862942131,5273792.318495604,47.615707799999996,-122.3524178
270,104.0276804926654,548593.223719905,5273853.411374064,47.616262799999994,-122.3533566
271,276.03060324118366,548493.0179139778,5273939.937164858,47.617048800000006,-122.35468040000002
272,276.03060324118366,548395.0450847901,5274023.982412895,47.61781229999999,-122.35597479999998
273,0.1892950671402848,551564.2705163717,5276030.456968372,47.63562029999999,-122.3135665
274,100.53125,550796.3679214014,5274121.6957475245,47.6185076,-122.3240097
275,67.02894950844235,550795.2220226466,5274251.4489275925,47.619675099999995,-122.32400990000001
276,76.6904761904762,550789.4052241147,5274633.463382987,47.62311259999999,-122.324043
277,33.118958921703154,550695.1140038818,5274995.634914412,47.6263785,-122.3252559
278,72.71646346761983,550640.3013030821,5275079.462733148,47.627137,-122.3259757
279,72.71646346761983,550589.4368204591,5275155.267227743,47.627823,-122.3266439
280,72.71646346761983,550547.7383667987,5275215.680106548,47.6283698,-122.32719190000002
281,1167.3888665563823,550306.2956628153,5273063.981812995,47.6090294,-122.3306525
282,164.6243669448561,550352.7876160125,5273509.066737476,47.6130303,-122.32998279999998
283,222.89257698519293,550408.0504893326,5274375.416306079,47.620820699999996,-122.32914779999999
284,222.89257698519293,550406.9391322805,5274503.9027103055,47.6219768,-122.32914779999999
285,222.89257698519293,550405.8294849308,5274632.189092107,47.6231311,-122.32914779999999
286,73.73053303143445,550395.2193793022,5275049.217813448,47.626884,-122.329241
287,73.73053303143445,550511.5054969009,5275463.855654893,47.630605499999994,-122.32764550000002
288,73.73053303143445,550662.1004194408,5275828.300818078,47.63387269999999,-122.3255989
289,73.73053303143445,550687.7076646448,5275940.0812757835,47.6348764,-122.3252451
290,140.3994728427065,548923.5745663819,5274114.143703737,47.618583799999996,-122.34893170000001
291,140.3994728427065,548934.7186735923,5274244.866713758,47.6197591,-122.34876879999999
292,201.2631399977182,551345.9022316852,5273354.811432706,47.61156449999999,-122.31678700000002
293,93.54311810626854,550437.5257698637,5272159.755319136,47.6008837,-122.32901060000002
294,93.54311810626854,550438.030051449,5272065.8082161285,47.600038399999995,-122.3290147
295,138.41879173705084,550439.5448512045,5271670.709603533,47.596483499999984,-122.32904000000002
296,138.41879173705084,550441.5534764903,5271216.708365308,47.5923986,-122.32906550000001
297,93.54311810626854,550044.7864725925,5272064.209998669,47.600054500000006,-122.3342459
298,93.54311810626854,550243.7011542516,5272064.997759665,47.6000462,-122.33159980000002
299,146.83909249980587,550539.1598212114,5272066.239118889,47.6000344,-122.3276694
300,146.83909249980587,550637.4409580493,5272066.613697301,47.6000301,-122.32636200000002
301,146.83909249980587,550834.4154475931,5272067.515905051,47.6000228,-122.3237417
302,76.6904761904762,550499.7127356562,5274378.066002518,47.6208374,-122.3279277
303,90.91666666666669,550697.2724993348,5274380.448135936,47.620843400000005,-122.3252984
304,59.206350118539376,551028.7322460583,5274409.682657511,47.6210804,-122.3208841
305,59.206350118539376,551100.7995513839,5274411.06992817,47.6210872,-122.3199249
306,59.206350118539376,551127.7131000834,5274411.472701013,47.621088699999994,-122.3195667
307,59.206350118539376,551330.104516415,5274415.485860266,47.6211088,-122.3168729
308,59.206350118539376,551412.0296578741,5274417.008274547,47.621115999999994,-122.3157825
309,59.206350118539376,551494.6375631228,5274418.649020347,47.6211242,-122.31468299999999
310,59.206350118539376,551520.222779054,5274418.8529204605,47.621124,-122.31434250000001
311,59.206350118539376,551572.3881806575,5274420.614734693,47.6211357,-122.3136481
312,59.206350118539376,551644.8431702468,5274421.489778474,47.6211378,-122.3126838
313,72.71646346761983,550889.8741642284,5276065.216648799,47.6359864,-122.3225395
314,72.71646346761983,550896.240276665,5276332.224104056,47.6383882,-122.3224237
315,33.118958921703154,550910.6954839025,5275252.317650121,47.62867099999999,-122.3223569
316,100.53125,550931.9506764265,5274148.487078622,47.61873799999999,-122.3222024
317,67.02894950844235,550929.8193410276,5274278.009381531,47.6199035,-122.32221570000002
318,90.91666666666669,550941.7309749516,5274510.887105707,47.6219978,-122.3220301
319,90.91666666666669,550941.712797787,5274636.749011227,47.6231302,-122.3220157
320,890.2412885550517,549845.303684181,5272550.286185728,47.6044432,-122.3368442
321,890.2412885550517,549797.4470495027,5272629.97993338,47.605163899999994,-122.3374718
322,181.60547746585303,549749.0057277265,5272709.635731239,47.60588429999999,-122.3381072
323,890.2412885550517,549944.0826151075,5272393.260150655,47.603022800000005,-122.335548
324,890.2412885550517,549893.6440985557,5272473.064392209,47.6037447,-122.3362099
325,507.6801927547495,550411.2763525199,5272303.951104744,47.6021831,-122.3293432
326,73.73053303143445,550265.3868275735,5275249.059748256,47.6286921,-122.330946
327,517.7530057724063,550488.4285126565,5272736.853425336,47.606072,-122.328267
328,517.7530057724063,550570.2455258879,5272788.222723918,47.6065278,-122.3271726
329,517.7530057724063,550736.8651760707,5272892.880306508,47.6074564,-122.32494380000001
330,517.7530057724063,550815.3819410629,5272942.090406099,47.607893,-122.32389349999998
331,392.83050851292734,550903.1979857144,5272996.13981836,47.6083724,-122.32271889999998
332,507.6801927547495,549988.9092283973,5272420.196932961,47.6032617,-122.3349486
333,890.2412885550517,550073.8351367945,5272472.074794896,47.60372189999999,-122.33381289999998
334,890.2412885550517,550155.8014571405,5272525.284442068,47.604194299999996,-122.3327164
335,890.2412885550517,550238.6034238115,5272579.047082804,47.6046716,-122.3316087
336,890.2412885550517,550319.5055705371,5272628.926660282,47.6051141,-122.33052670000001
337,498.6205852961248,550409.5762441288,5272684.955202641,47.60561119999999,-122.32932200000002
338,140.3994728427065,549705.8365764081,5274635.490336044,47.623214899999994,-122.338463
339,2143.2359624903006,549901.835518841,5274636.565263932,47.623209499999994,-122.33585450000001
340,2143.2359624903006,550015.4608171573,5274632.726764861,47.62316620000001,-122.3343428
